City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
178,La Ronge,CA,55.1001,-105.2842,73.27,45,100,4.88,overcast clouds
179,Coihaique,CL,-45.5752,-72.0662,40.95,75,75,9.22,broken clouds
180,Arlit,NE,18.7369,7.3853,94.05,32,99,12.77,overcast clouds
181,Darnah,LY,32.767,22.6367,79.12,77,0,14.7,clear sky
182,Touros,BR,-5.1989,-35.4608,79.74,76,65,17.56,broken clouds
183,Pevek,RU,69.7008,170.3133,31.17,93,100,32.97,light snow
184,Tete,MZ,-16.1564,33.5867,71.19,52,100,4.5,overcast clouds
185,Camargo,MX,27.6667,-105.1667,92.03,25,3,6.49,clear sky
186,Khovu-Aksy,RU,51.1333,93.6,53.82,88,98,1.7,overcast clouds
187,Codrington,AU,-38.2667,141.9667,49.28,71,100,17.6,overcast clouds
188,Siilinjarvi,FI,63.0833,27.6667,59.02,82,0,4.61,clear sky
189,Karratha,AU,-20.7377,116.8463,65.55,57,0,6.31,clear sky
190,Wittlich,DE,49.9833,6.8833,77.09,47,97,5.08,overcast clouds
191,Caconda,AO,-13.7333,15.0667,59.36,35,6,2.24,clear sky
192,Hithadhoo,MV,-0.6,73.0833,76.12,86,100,24.4,overcast clouds
193,Stornoway,GB,58.2093,-6.3865,64.04,84,100,3.44,overcast clouds
194,Praia Da Vitoria,PT,38.7333,-27.0667,77.76,73,24,11.27,few clouds
195,Vao,NC,-22.6667,167.4833,70.61,73,99,20.33,overcast clouds
196,Perth,AU,-31.9333,115.8333,54.09,96,75,9.22,light rain
197,Houma,US,29.5958,-90.7195,93.0,66,40,4.0,scattered clouds
198,Valparaiso,CL,-33.0393,-71.6273,61.03,63,0,8.05,clear sky
199,Tsabong,BW,-26.0217,22.401,59.56,40,4,8.5,clear sky
200,Aklavik,CA,68.2191,-135.0107,68.77,47,100,7.76,overcast clouds
201,Bredasdorp,ZA,-34.5322,20.0403,54.82,86,0,5.55,clear sky
202,Rayadrug,IN,14.7,76.8667,73.71,83,100,18.84,moderate rain
203,Hervey Bay,AU,-25.2986,152.8535,56.01,90,99,3.0,light rain
204,Terra Santa,BR,-2.1042,-56.4869,94.46,39,44,6.11,scattered clouds
205,Kalevala,RU,65.2,31.1667,55.24,91,92,5.86,overcast clouds
206,Auki,SB,-8.7676,160.7034,76.26,87,85,4.43,overcast clouds
207,Nanga Eboko,CM,4.6833,12.3667,68.72,96,100,2.51,overcast clouds
208,Huarmey,PE,-10.0681,-78.1522,68.5,68,2,11.74,clear sky
209,Olafsvik,IS,64.8945,-23.7142,51.24,83,84,5.01,broken clouds
210,Severo-Kurilsk,RU,50.6789,156.125,53.71,97,98,0.6,overcast clouds
211,Turka,UA,49.1541,23.0297,56.8,66,80,1.86,broken clouds
