City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
89,Saint George,US,2022-07-17 16:34:16,37.1041,-113.5841,100.8,25,0,3.44
90,Tasiilaq,GL,2022-07-17 16:36:10,65.6145,-37.6368,50.16,78,91,5.99
91,Pingliang,CN,2022-07-17 16:36:11,35.5392,106.6861,70.07,44,86,5.64
92,Byron Bay,AU,2022-07-17 16:31:38,-28.65,153.6167,58.95,75,36,10.56
93,La Ronge,CA,2022-07-17 16:32:39,55.1001,-105.2842,75.45,50,75,6.91
94,Maningrida,AU,2022-07-17 16:28:27,-12.0667,134.2667,64.22,93,100,8.88
95,Klaksvik,FO,2022-07-17 16:36:12,62.2266,-6.589,50.92,84,78,24.05
96,Carnarvon,AU,2022-07-17 16:36:12,-24.8667,113.6333,67.23,80,16,11.88
97,Visnes,NO,2022-07-17 16:36:13,59.3556,5.2242,57.81,94,100,5.75
98,Hasaki,JP,2022-07-17 16:36:13,35.7333,140.8333,75.6,92,45,10.45
99,Norman Wells,CA,2022-07-17 16:36:13,65.282,-126.8329,60.84,88,75,5.75
100,Telchac,MX,2022-07-17 16:36:14,21.2,-89.2667,95.09,37,5,6.08
101,Gidole,ET,2022-07-17 16:36:14,5.65,37.3667,59.9,62,77,2.91
102,Uige,AO,2022-07-17 16:36:15,-7.6087,15.0613,80.91,26,78,0.76
103,Dong Hoi,VN,2022-07-17 16:36:15,17.4833,106.6,83.41,78,40,7.14
104,Viedma,AR,2022-07-17 16:36:16,-40.8135,-62.9967,54.52,36,41,27.69
105,Shaowu,CN,2022-07-17 16:36:16,27.3409,117.4831,77.92,93,100,2.1
106,Heishan,CN,2022-07-17 16:36:16,41.6892,122.1128,68.22,87,18,4.16
107,Santa Cruz De La Palma,ES,2022-07-17 16:36:17,28.6835,-17.7642,78.13,65,20,12.66
108,Numan,NG,2022-07-17 16:36:17,9.4667,12.0333,73.29,94,100,2.46
109,Portland,US,2022-07-17 16:34:34,45.5234,-122.6762,67.6,63,75,6.91
110,Gamba,GA,2022-07-17 16:36:18,-2.65,10.0,73.35,76,15,9.57
111,Alice Springs,AU,2022-07-17 16:36:18,-23.7,133.8833,38.75,35,0,0.0
112,Fairview,US,2022-07-17 16:35:57,40.8126,-73.999,86.23,63,100,6.91
113,Huarmey,PE,2022-07-17 16:36:19,-10.0681,-78.1522,67.28,70,15,10.13
114,Dingle,PH,2022-07-17 16:36:19,10.9995,122.6711,75.11,94,100,2.82
115,Oga,IT,2022-07-17 16:36:19,46.4631,10.347,79.48,49,9,3.44
116,Kondinskoye,RU,2022-07-17 16:36:20,59.6481,67.41,62.96,60,100,4.25
117,Fortuna,US,2022-07-17 16:29:00,40.5982,-124.1573,58.98,90,53,1.01
118,Ewa Beach,US,2022-07-17 16:36:20,21.3156,-158.0072,78.75,71,75,13.8
119,Coihaique,CL,2022-07-17 16:36:21,-45.5752,-72.0662,40.95,70,75,8.05
