City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
334,Kenosha,US,80.47,clear sky,42.5667,-88.0501,Bristol Motel
335,Taybad,IR,86.52,clear sky,34.74,60.7756,لی پوش jean center
337,Alofi,NU,77.43,clear sky,-19.0595,-169.9187,Taloa Heights
338,Ixtapa,MX,86.23,broken clouds,20.7,-105.2,hotel la terminal
343,Nishihara,JP,82.45,light intensity shower rain,26.1842,127.7558,Minshuku Agaihama
344,Sokoni,TZ,76.01,light rain,-6.4333,39.55,Ujamaa Beach Resort
347,Makakilo City,US,80.92,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
348,Kalmunai,LK,81.46,overcast clouds,7.4167,81.8167,VS Villa
349,Xinzhi,CN,77.34,clear sky,36.4989,111.7047,Mingyue Hotel
352,Kampot,KH,78.85,overcast clouds,10.6167,104.1833,Two Moons Hotel
353,Dong Hoi,VN,82.98,overcast clouds,17.4833,106.6,Nam Long Hotel
355,Ajdabiya,LY,81.16,clear sky,30.7554,20.2263,Almadina Hotel
356,Bambanglipuro,ID,75.02,overcast clouds,-7.95,110.2833,Puri Brata
357,Pundaguitan,PH,80.47,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
358,Road Town,VG,89.69,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
359,Hobyo,SO,77.04,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
360,Gizo,SB,81.07,few clouds,-8.103,156.8419,Imagination Island
362,Izumo,JP,75.04,overcast clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
366,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
369,Lamu,KE,75.42,clear sky,-2.2717,40.902,Lamu House
375,Candeias,BR,82.54,broken clouds,-20.7676,-45.2764,Hotel Avenida
379,Hamilton,US,75.78,moderate rain,39.1834,-84.5333,Six Acres Bed & Breakfast
380,Batticaloa,LK,82.09,overcast clouds,7.7102,81.6924,Grand Star Guest House
382,Trojes,AL,79.29,broken clouds,41.756,19.962,Sofra e Kthellës
383,Woodstock,CA,83.8,overcast clouds,43.1334,-80.7497,"Holiday Inn Express & Suites Woodstock South, an IHG Hotel"
384,Chabahar,IR,87.01,overcast clouds,25.2919,60.643,هتل گدروشیا
387,Khlung,TH,82.04,overcast clouds,12.4547,102.2214,Bai Phai Resort
394,Fare,PF,76.91,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
397,Kieta,PG,78.37,light rain,-6.2167,155.6333,Uruna Bay Retreat
400,Platanos,GR,84.56,clear sky,37.6667,21.6167,Hotel Kronio
401,Pacific Grove,US,78.21,scattered clouds,36.6177,-121.9166,Lovers Point Inn
403,Hay River,CA,78.78,overcast clouds,60.8156,-115.7999,Ptarmigan Inn
404,Jingdezhen,CN,76.87,overcast clouds,29.2947,117.2079,Garden Hotel
408,Kitzingen,DE,78.42,overcast clouds,49.7333,10.1667,Hotel Kitzinger Hof
410,Zanjan,IR,78.49,clear sky,36.6736,48.4787,Qasr Hotel
415,Libreville,GA,75.42,few clouds,0.3925,9.4537,Le Méridien Re-Ndama
418,Labrea,BR,85.87,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
420,Sept-Iles,CA,78.8,broken clouds,50.2001,-66.3821,Comfort Inn
421,Sibolga,ID,76.08,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
423,Hami,CN,81.0,clear sky,42.8,93.45,Laoyutang Resort
425,Kuna,US,87.73,haze,43.4918,-116.4201,Winfield Springs
426,Yinchuan,CN,77.59,overcast clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
429,Oxbow,CA,86.65,clear sky,49.2333,-102.1676,Bow Manor Motor Hotel
430,Paciran,ID,77.45,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
436,Caravelas,BR,76.68,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
440,Kathmandu,NP,75.42,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
443,Luneville,FR,81.82,clear sky,48.6,6.5,Brit Hotel Nancy Lunéville
446,Praia,CV,81.14,few clouds,14.9215,-23.5087,LT Aparthotel
448,Tagusao,PH,80.04,light rain,9.1924,117.8141,Caycay future beach resort
449,Praya,CV,81.14,few clouds,14.9215,-23.5087,LT Aparthotel
459,Singaraja,ID,76.82,clear sky,-8.112,115.0882,Puri Bagus Lovina Resort
461,Bodden Town,KY,89.6,broken clouds,19.2833,-81.25,Will T Place
464,Harper,LR,75.56,overcast clouds,4.375,-7.7169,Screensaver
